date,total_articles,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,dominant_sentiment,avg_sentiment_lag_1d,avg_sentiment_lag_2d,avg_sentiment_lag_3d,avg_sentiment_lag_7d,avg_sentiment_lag_14d,total_articles_lag_1d,total_articles_lag_2d,total_articles_lag_3d,total_articles_lag_7d,total_articles_lag_14d,avg_sentiment_rolling_mean_3d,avg_sentiment_rolling_std_3d,avg_sentiment_rolling_min_3d,avg_sentiment_rolling_max_3d,avg_sentiment_rolling_median_3d,avg_sentiment_rolling_mean_7d,avg_sentiment_rolling_std_7d,avg_sentiment_rolling_min_7d,avg_sentiment_rolling_max_7d,avg_sentiment_rolling_median_7d,avg_sentiment_rolling_mean_14d,avg_sentiment_rolling_std_14d,avg_sentiment_rolling_min_14d,avg_sentiment_rolling_max_14d,avg_sentiment_rolling_median_14d,avg_sentiment_rolling_mean_30d,avg_sentiment_rolling_std_30d,avg_sentiment_rolling_min_30d,avg_sentiment_rolling_max_30d,avg_sentiment_rolling_median_30d,total_articles_rolling_mean_3d,total_articles_rolling_std_3d,total_articles_rolling_min_3d,total_articles_rolling_max_3d,total_articles_rolling_median_3d,total_articles_rolling_mean_7d,total_articles_rolling_std_7d,total_articles_rolling_min_7d,total_articles_rolling_max_7d,total_articles_rolling_median_7d,total_articles_rolling_mean_14d,total_articles_rolling_std_14d,total_articles_rolling_min_14d,total_articles_rolling_max_14d,total_articles_rolling_median_14d,total_articles_rolling_mean_30d,total_articles_rolling_std_30d,total_articles_rolling_min_30d,total_articles_rolling_max_30d,total_articles_rolling_median_30d,day_of_week,is_weekend,day_of_month,week_of_year,month,quarter,is_month_start,is_month_end,is_holiday_hr,days_since_weekend,days_until_weekend,sentiment_momentum_1d,sentiment_momentum_7d,sentiment_acceleration,sentiment_trend,sentiment_trend_streak,volume_change_1d,volume_change_7d,volume_pct_change_1d,volume_acceleration,volume_trend,volume_spike,sentiment_spike,spike_label
2025-11-24,13,0.0,0.7071067811865476,-1,1,neutral,0.0,-0.1875,0.0,0.35714285714285715,0.5333333333333333,18.0,16.0,13.0,14.0,15.0,-0.0625,0.108253175473055,-0.1875,0.0,0.0,0.07627551020408163,0.1923679705746585,-0.1875,0.4,0.0,0.16430401107811546,0.20461970249435626,-0.1875,0.47058823529411764,0.1456140350877193,0.20138655209002418,0.19985700481208726,-0.1875,0.5333333333333333,0.23026315789473684,15.666666666666666,2.516611478423582,13.0,18.0,16.0,15.0,1.8257418583505702,13.0,18.0,15.0,16.357142857142858,2.499450489058097,13.0,20.0,16.0,19.46153846153846,9.003247277425048,13.0,54.0,16.0,0,0,24,48,11,4,0,0,0,0,5,0.0,-0.35714285714285715,-0.1875,0.0,1.0,-5.0,-1.0,-0.2777777777777778,-7.0,-1.0,0,0,0
2025-11-25,11,0.09090909090909091,0.5393598899705937,-1,1,neutral,0.0,0.0,-0.1875,0.07142857142857142,0.13333333333333333,13.0,18.0,16.0,14.0,15.0,0.030303030303030304,0.052486388108148,0.0,0.09090909090909091,0.0,0.07905844155844156,0.19242706520409708,-0.1875,0.4,0.0,0.1612737080478124,0.20542619253858457,-0.1875,0.47058823529411764,0.12440191387559808,0.19729479426850813,0.19712586585581882,-0.1875,0.5333333333333333,0.21052631578947367,14.0,3.6055512754639896,11.0,18.0,13.0,14.571428571428571,2.3704530408864204,11.0,18.0,15.0,16.071428571428573,2.86797397569691,11.0,20.0,16.0,19.14814814814815,8.977337722988514,11.0,54.0,16.0,1,0,25,48,11,4,0,0,0,1,4,0.09090909090909091,0.019480519480519487,0.09090909090909091,1.0,1.0,-2.0,-3.0,-0.15384615384615385,3.0,-1.0,0,0,0
2025-11-26,18,0.1111111111111111,0.8323523637957304,-1,1,positive,0.09090909090909091,0.0,0.0,0.4,-0.05263157894736842,11.0,13.0,18.0,15.0,19.0,0.06734006734006734,0.05918651795032654,0.0,0.1111111111111111,0.09090909090909091,0.03778860028860028,0.13433201631273045,-0.1875,0.25,0.0,0.17296961448056097,0.19679052953617532,-0.1875,0.47058823529411764,0.13450292397660818,0.1942168055843154,0.19412540205921658,-0.1875,0.5333333333333333,0.19147005444646098,14.0,3.6055512754639896,11.0,18.0,13.0,15.0,2.708012801545331,11.0,18.0,16.0,16.0,2.8010986855435602,11.0,20.0,16.0,19.107142857142858,8.812193932543808,11.0,54.0,16.0,2,0,26,48,11,4,0,0,0,2,3,0.020202020202020193,-0.2888888888888889,-0.07070707070707072,1.0,2.0,7.0,3.0,0.6363636363636365,9.0,1.0,0,0,0
2025-11-27,12,-0.16666666666666666,0.937436866561092,-1,1,negative,0.1111111111111111,0.09090909090909091,0.0,0.25,0.45,18.0,11.0,13.0,16.0,20.0,0.011784511784511786,0.15487300514622127,-0.16666666666666666,0.1111111111111111,0.09090909090909091,-0.021735209235209236,0.11564113624813108,-0.1875,0.1111111111111111,0.0,0.12892199543294192,0.19901467538745035,-0.1875,0.47058823529411764,0.10101010101010101,0.18177254792048841,0.20206364716825478,-0.1875,0.5333333333333333,0.1724137931034483,13.666666666666666,3.7859388972001833,11.0,18.0,12.0,14.428571428571429,2.8784916685157076,11.0,18.0,13.0,15.428571428571429,2.7376094488632803,11.0,20.0,15.5,18.862068965517242,8.753465182963808,11.0,54.0,16.0,3,0,27,48,11,4,0,0,0,3,2,-0.2777777777777778,-0.41666666666666663,-0.297979797979798,-1.0,1.0,-6.0,-4.0,-0.33333333333333337,-13.0,-1.0,0,0,0
2025-11-28,18,0.2777777777777778,0.8264420947336313,-1,1,positive,-0.16666666666666666,0.1111111111111111,0.09090909090909091,0.0,0.25,12.0,18.0,11.0,13.0,20.0,0.07407407407407408,0.2245251046848545,-0.16666666666666666,0.2777777777777778,0.1111111111111111,0.01794733044733045,0.1625063674321214,-0.1875,0.2777777777777778,0.0,0.1309061224170689,0.20044795590867195,-0.1875,0.47058823529411764,0.10101010101010101,0.18497272224906472,0.19932142304727976,-0.1875,0.5333333333333333,0.19147005444646098,16.0,3.4641016151377526,12.0,18.0,18.0,15.142857142857142,3.0783421635988644,11.0,18.0,16.0,15.285714285714286,2.5246042013801677,11.0,19.0,15.5,18.833333333333332,8.602659305495992,11.0,54.0,16.0,4,0,28,48,11,4,0,0,0,4,1,0.4444444444444444,0.2777777777777778,0.7222222222222222,1.0,1.0,6.0,5.0,0.5,12.0,1.0,0,1,1
2025-11-29,13,0.3076923076923077,0.6304251719561152,-1,1,neutral,0.2777777777777778,-0.16666666666666666,0.1111111111111111,-0.1875,0.15789473684210525,18.0,12.0,18.0,16.0,19.0,0.13960113960113962,0.26565710350388283,-0.16666666666666666,0.3076923076923077,0.2777777777777778,0.08868908868908869,0.16591297340910988,-0.16666666666666666,0.3076923076923077,0.09090909090909091,0.14160594890636907,0.20592271540229612,-0.1875,0.47058823529411764,0.10101010101010101,0.18272913250547498,0.1974789888776465,-0.1875,0.5333333333333333,0.19147005444646098,14.333333333333334,3.2145502536643193,12.0,18.0,13.0,14.714285714285714,3.147183169877782,11.0,18.0,13.0,14.857142857142858,2.348719548282327,11.0,18.0,14.5,18.2,8.293745046512566,11.0,54.0,16.0,5,1,29,48,11,4,0,0,0,0,0,0.02991452991452992,0.4951923076923077,-0.4145299145299145,1.0,2.0,-5.0,-3.0,-0.2777777777777778,-11.0,-1.0,0,0,0
2025-11-30,19,0.2631578947368421,0.5619514869490164,-1,1,neutral,0.3076923076923077,0.2777777777777778,-0.16666666666666666,0.0,0.47058823529411764,13.0,18.0,12.0,18.0,17.0,0.28287599340230923,0.022700712240756243,0.2631578947368421,0.3076923076923077,0.2777777777777778,0.1262830736514947,0.1721642357200745,-0.16666666666666666,0.3076923076923077,0.1111111111111111,0.12678949600942083,0.18702659009853578,-0.1875,0.4,0.10101010101010101,0.18102487185384591,0.19652279826061592,-0.1875,0.5333333333333333,0.19147005444646098,16.666666666666668,3.2145502536643145,13.0,19.0,18.0,14.857142857142858,3.3380918415851295,11.0,19.0,13.0,15.0,2.541955637208974,11.0,19.0,14.5,17.666666666666668,7.6669165376572534,11.0,54.0,16.0,6,1,30,48,11,4,0,1,0,0,0,-0.04453441295546562,0.2631578947368421,-0.07444894286999554,-1.0,1.0,6.0,1.0,0.46153846153846145,11.0,1.0,0,0,0
2025-12-01,18,0.3888888888888889,0.6076849889141857,-1,1,neutral,0.2631578947368421,0.3076923076923077,0.2777777777777778,0.0,0.35714285714285715,19.0,13.0,18.0,13.0,14.0,0.3199130304393462,0.06375013937992965,0.2631578947368421,0.3888888888888889,0.3076923076923077,0.18183862920705027,0.1867496566710306,-0.16666666666666666,0.3888888888888889,0.2631578947368421,0.12905706970556594,0.19019983914623234,-0.1875,0.4,0.10101010101010101,0.18102487185384591,0.19652279826061592,-0.1875,0.5333333333333333,0.19147005444646098,16.666666666666668,3.2145502536643145,13.0,19.0,18.0,15.571428571428571,3.4086724129853954,11.0,19.0,18.0,15.285714285714286,2.6436737675082016,11.0,19.0,15.5,16.466666666666665,3.431430116391434,11.0,29.0,16.0,0,0,1,49,12,4,1,0,0,0,5,0.1257309941520468,0.3888888888888889,0.17026540710751242,1.0,1.0,-1.0,5.0,-0.052631578947368474,-7.0,-1.0,0,0,0
2025-12-02,19,0.3157894736842105,0.4775669329409193,0,1,neutral,0.3888888888888889,0.2631578947368421,0.3076923076923077,0.09090909090909091,0.07142857142857142,18.0,19.0,13.0,11.0,14.0,0.3226120857699805,0.06314255102045006,0.2631578947368421,0.3888888888888889,0.3157894736842105,0.2139643981749245,0.18783982457540366,-0.16666666666666666,0.3888888888888889,0.2777777777777778,0.14651141986668303,0.19563909289116455,-0.1875,0.4,0.18055555555555555,0.19780118764331958,0.18513021237038935,-0.1875,0.5333333333333333,0.23026315789473684,18.666666666666668,0.5773502691895791,18.0,19.0,19.0,16.714285714285715,2.9277002188456103,12.0,19.0,18.0,15.642857142857142,2.790289283517805,11.0,19.0,16.0,16.566666666666666,3.460947979895133,11.0,29.0,16.0,1,0,2,49,12,4,0,0,0,1,4,-0.07309941520467839,0.2248803827751196,-0.1988304093567252,-1.0,1.0,1.0,8.0,0.05555555555555558,2.0,1.0,0,0,0
2025-12-03,12,0.25,0.4522670168666455,0,1,neutral,0.3157894736842105,0.3888888888888889,0.2631578947368421,0.1111111111111111,0.4,19.0,18.0,19.0,18.0,15.0,0.3182261208576998,0.06947649819387523,0.25,0.3888888888888889,0.3157894736842105,0.23380566801619435,0.18242205284987525,-0.16666666666666666,0.3888888888888889,0.2777777777777778,0.13579713415239733,0.1844778064153126,-0.1875,0.3888888888888889,0.18055555555555555,0.20038739453987128,0.18530517351985,-0.1875,0.5333333333333333,0.25,16.333333333333332,3.78593889720018,12.0,19.0,18.0,15.857142857142858,3.3380918415851295,12.0,19.0,18.0,15.428571428571429,2.9538576007104242,11.0,19.0,16.0,16.0,2.6522599342109467,11.0,20.0,16.0,2,0,3,49,12,4,0,0,0,2,3,-0.06578947368421051,0.1388888888888889,0.0073099415204678775,-1.0,2.0,-7.0,-6.0,-0.368421052631579,-8.0,-1.0,0,0,0
2025-12-04,15,0.2,0.5606119105813882,-1,1,neutral,0.25,0.3157894736842105,0.3888888888888889,-0.16666666666666666,0.25,12.0,19.0,18.0,12.0,16.0,0.25526315789473686,0.05807388550187856,0.2,0.3157894736842105,0.25,0.28618662039714676,0.059477187970272155,0.2,0.3888888888888889,0.2777777777777778,0.13222570558096874,0.18257094211547983,-0.1875,0.3888888888888889,0.15555555555555556,0.20003651734688885,0.18529527894405667,-0.1875,0.5333333333333333,0.25,15.333333333333334,3.5118845842842465,12.0,19.0,15.0,16.285714285714285,2.92770021884561,12.0,19.0,18.0,15.357142857142858,2.9510661139309007,11.0,19.0,15.5,15.866666666666667,2.5961952709797154,11.0,20.0,15.5,3,0,4,49,12,4,0,0,0,3,2,-0.04999999999999999,0.3666666666666667,0.01578947368421052,-1.0,3.0,3.0,3.0,0.25,10.0,1.0,0,0,0
2025-12-05,16,0.4375,0.7274384280931732,-1,1,positive,0.2,0.25,0.3157894736842105,0.2777777777777778,0.0,15.0,12.0,19.0,18.0,13.0,0.29583333333333334,0.1252081600109725,0.2,0.4375,0.25,0.309004080714607,0.0820627707696718,0.2,0.4375,0.3076923076923077,0.16347570558096874,0.19520301431720394,-0.1875,0.4375,0.225,0.20949164555201705,0.19003350376128048,-0.1875,0.5333333333333333,0.25,14.333333333333334,2.081665999466137,12.0,16.0,15.0,16.0,2.8284271247462,12.0,19.0,16.0,15.571428571428571,2.8746715053613143,11.0,19.0,16.0,15.966666666666667,2.5391192246095056,11.0,20.0,16.0,4,0,5,49,12,4,0,0,0,4,1,0.2375,0.1597222222222222,0.2875,1.0,1.0,1.0,-2.0,0.06666666666666665,-2.0,1.0,0,0,0
2025-12-06,19,0.21052631578947367,0.8549819600709617,-1,1,positive,0.4375,0.2,0.25,0.3076923076923077,-0.1875,16.0,15.0,12.0,13.0,16.0,0.2826754385964912,0.13418526163989303,0.2,0.4375,0.21052631578947367,0.2951232247284879,0.09014173318928582,0.2,0.4375,0.2631578947368421,0.19190615670878827,0.16711777622040366,-0.16666666666666666,0.4375,0.23026315789473684,0.20539807830055506,0.18859104013223385,-0.1875,0.5333333333333333,0.25,16.666666666666668,2.0816659994661277,15.0,19.0,16.0,16.857142857142858,2.672612419124257,12.0,19.0,18.0,15.785714285714286,3.0173491021748915,11.0,19.0,17.0,16.0,2.573070083610701,11.0,20.0,16.0,5,1,6,49,12,4,0,0,0,0,0,-0.22697368421052633,-0.09716599190283404,-0.4644736842105263,-1.0,1.0,3.0,6.0,0.1875,2.0,1.0,0,0,0
2025-12-07,14,-0.21428571428571427,0.8925823753039809,-1,1,negative,0.21052631578947367,0.4375,0.2,0.2631578947368421,0.0,19.0,16.0,15.0,19.0,18.0,0.14458020050125317,0.33085921768622406,-0.21428571428571427,0.4375,0.21052631578947367,0.2269169948681227,0.21395647869678078,-0.21428571428571427,0.4375,0.25,0.1766000342598087,0.19373902834889087,-0.21428571428571427,0.4375,0.23026315789473684,0.18936633226880906,0.20308830859412075,-0.21428571428571427,0.5333333333333333,0.23026315789473684,16.333333333333332,2.51661147842358,14.0,19.0,16.0,16.142857142857142,2.672612419124255,12.0,19.0,16.0,15.5,2.9807071953842437,11.0,19.0,15.5,15.966666666666667,2.5928726358514202,11.0,20.0,16.0,6,1,7,49,12,4,0,0,0,0,0,-0.424812030075188,-0.47744360902255634,-0.19783834586466165,-1.0,2.0,-5.0,-5.0,-0.26315789473684215,-8.0,-1.0,0,1,1
2025-12-08,17,0.058823529411764705,0.6586528140164322,-1,1,neutral,-0.21428571428571427,0.21052631578947367,0.4375,0.3888888888888889,0.0,14.0,19.0,16.0,18.0,13.0,0.0183547103051747,0.21527798125693703,-0.21428571428571427,0.21052631578947367,0.058823529411764705,0.17976480065710493,0.20861506073867842,-0.21428571428571427,0.4375,0.21052631578947367,0.18080171493207758,0.19022034180624323,-0.21428571428571427,0.4375,0.23026315789473684,0.17882711658253453,0.20131895128985713,-0.21428571428571427,0.5333333333333333,0.20526315789473684,16.666666666666668,2.516611478423579,14.0,19.0,17.0,16.0,2.5819888974716223,12.0,19.0,16.0,15.785714285714286,2.913590738077503,11.0,19.0,16.5,16.0,2.5997347344787194,11.0,20.0,16.0,0,0,8,50,12,4,0,0,0,0,5,0.27310924369747897,-0.3300653594771242,0.697921273772667,1.0,1.0,3.0,-1.0,0.2142857142857142,8.0,1.0,0,0,0
2025-12-09,9,0.3333333333333333,0.7071067811865476,-1,1,neutral,0.058823529411764705,-0.21428571428571427,0.21052631578947367,0.3157894736842105,0.09090909090909091,17.0,14.0,19.0,19.0,11.0,0.059290382819794575,0.27380982230898276,-0.21428571428571427,0.3333333333333333,0.058823529411764705,0.18227106632126536,0.21061737597879487,-0.21428571428571427,0.4375,0.21052631578947367,0.19811773224809492,0.19242910943598057,-0.21428571428571427,0.4375,0.256578947368421,0.18993822769364563,0.20030490671686485,-0.21428571428571427,0.5333333333333333,0.23026315789473684,13.333333333333334,4.041451884327383,9.0,17.0,14.0,14.571428571428571,3.3094381626464915,9.0,19.0,15.0,15.642857142857142,3.2011330411672625,9.0,19.0,16.5,15.8,2.893512362700981,9.0,20.0,16.0,1,0,9,50,12,4,0,0,0,1,4,0.2745098039215686,0.017543859649122806,0.0014005602240896309,1.0,2.0,-8.0,-10.0,-0.47058823529411764,-11.0,-1.0,0,0,0
2025-12-12,12,0.5,0.7977240352174656,-1,1,positive,0.3333333333333333,0.058823529411764705,-0.21428571428571427,0.25,0.1111111111111111,9.0,17.0,14.0,12.0,18.0,0.2973856209150327,0.2227742087209707,0.058823529411764705,0.5,0.3333333333333333,0.21798535203555106,0.2427598160720297,-0.21428571428571427,0.5,0.21052631578947367,0.2258955100258727,0.2064604246643848,-0.21428571428571427,0.5,0.27046783625730997,0.18882711658253454,0.19841793935008917,-0.21428571428571427,0.5,0.23026315789473684,12.666666666666666,4.041451884327385,9.0,17.0,12.0,14.571428571428571,3.3094381626464915,9.0,19.0,15.0,15.214285714285714,3.2623392133340707,9.0,19.0,15.5,15.7,2.9728657948993797,9.0,20.0,16.0,4,0,12,50,12,4,0,0,0,4,1,0.16666666666666669,0.25,-0.10784313725490191,1.0,3.0,3.0,0.0,0.33333333333333326,11.0,1.0,0,0,0
2025-12-13,13,0.23076923076923078,0.8320502943378437,-1,1,positive,0.5,0.3333333333333333,0.058823529411764705,0.2,-0.16666666666666666,12.0,9.0,17.0,15.0,12.0,0.3547008547008547,0.13588130850927027,0.23076923076923078,0.5,0.3333333333333333,0.22238095643115546,0.24265842766378776,-0.21428571428571427,0.5,0.23076923076923078,0.25428378841415106,0.17293239231876129,-0.21428571428571427,0.5,0.27046783625730997,0.19207497983039776,0.19827565307915263,-0.21428571428571427,0.5,0.2403846153846154,11.333333333333334,2.081665999466146,9.0,13.0,12.0,14.285714285714286,3.352326839390107,9.0,19.0,14.0,15.285714285714286,3.196839098200008,9.0,19.0,15.5,15.633333333333333,3.011281470064528,9.0,20.0,16.0,5,1,13,50,12,4,0,0,0,0,0,-0.2692307692307692,0.03076923076923077,-0.4358974358974359,-1.0,1.0,1.0,-2.0,0.08333333333333326,-2.0,1.0,0,0,0
2025-12-14,16,0.25,0.5773502691896257,-1,1,neutral,0.23076923076923078,0.5,0.3333333333333333,0.4375,0.2777777777777778,13.0,12.0,9.0,16.0,18.0,0.3269230769230769,0.15019710915205092,0.23076923076923078,0.5,0.25,0.1955952421454412,0.22463413302920007,-0.21428571428571427,0.5,0.23076923076923078,0.2522996614300241,0.1728014041829256,-0.21428571428571427,0.5,0.256578947368421,0.2021626991286434,0.19302536452484745,-0.21428571428571427,0.5,0.25,13.666666666666666,2.0816659994661384,12.0,16.0,13.0,14.285714285714286,3.352326839390107,9.0,19.0,14.0,15.142857142857142,3.1097153680569694,9.0,19.0,15.5,15.533333333333333,2.944701065951526,9.0,20.0,16.0,6,1,14,50,12,4,0,0,0,0,0,0.019230769230769218,-0.1875,0.28846153846153844,1.0,1.0,3.0,0.0,0.23076923076923084,2.0,1.0,0,0,0
2025-12-15,15,0.13333333333333333,0.7432233529572065,-1,1,neutral,0.25,0.23076923076923078,0.5,0.21052631578947367,0.3076923076923077,16.0,13.0,12.0,19.0,13.0,0.20470085470085472,0.06254956395459133,0.13333333333333333,0.25,0.23076923076923078,0.18456767322313541,0.22567133909186476,-0.21428571428571427,0.5,0.23076923076923078,0.23984544897581167,0.17477400066054236,-0.21428571428571427,0.5,0.25,0.19160714357308786,0.18758690036322104,-0.21428571428571427,0.5,0.2403846153846154,14.666666666666666,1.5275252316519494,13.0,16.0,15.0,13.714285714285714,2.6903708365382,9.0,17.0,14.0,15.285714285714286,3.0490495726870885,9.0,19.0,15.5,15.366666666666667,2.8221211554594734,9.0,20.0,15.5,0,0,15,51,12,4,0,0,0,0,5,-0.11666666666666667,-0.07719298245614034,-0.1358974358974359,-1.0,1.0,-1.0,-4.0,-0.0625,-4.0,-1.0,0,0,0
2025-12-16,35,0.14285714285714285,0.7724238832805372,-1,1,neutral,0.13333333333333333,0.25,0.23076923076923078,-0.21428571428571427,0.2631578947368421,15.0,16.0,13.0,14.0,19.0,0.1753968253968254,0.06478349313378605,0.13333333333333333,0.25,0.14285714285714285,0.2355880813864007,0.14719572514014395,0.058823529411764705,0.5,0.23076923076923078,0.2312525381272617,0.1764885907731232,-0.21428571428571427,0.5,0.2403846153846154,0.18803571500165928,0.18745672551426973,-0.21428571428571427,0.5,0.22064777327935223,22.0,11.26942766958464,15.0,35.0,16.0,16.714285714285715,8.499299691038981,9.0,35.0,15.0,16.428571428571427,6.060138177077709,9.0,35.0,15.5,15.866666666666667,4.500830063929073,9.0,35.0,15.5,1,0,16,51,12,4,0,0,0,1,4,0.009523809523809518,0.3571428571428571,0.1261904761904762,1.0,1.0,20.0,21.0,1.3333333333333335,21.0,1.0,1,0,1
2025-12-17,17,0.29411764705882354,0.6859943405700354,-1,1,neutral,0.14285714285714285,0.13333333333333333,0.25,0.058823529411764705,0.3888888888888889,35.0,15.0,16.0,17.0,18.0,0.19010270774976656,0.09020535702807003,0.13333333333333333,0.29411764705882354,0.14285714285714285,0.26920152676455195,0.1253464839613752,0.13333333333333333,0.5,0.25,0.22448316371082846,0.17173059302957297,-0.21428571428571427,0.5,0.2403846153846154,0.19257647867554986,0.18834918378829016,-0.21428571428571427,0.5,0.2403846153846154,22.333333333333332,11.0151410945722,15.0,35.0,17.0,16.714285714285715,8.499299691038981,9.0,35.0,15.0,16.357142857142858,6.046068561879286,9.0,35.0,15.5,15.8,4.467507212042879,9.0,35.0,15.5,2,0,17,51,12,4,0,0,0,2,3,0.1512605042016807,0.23529411764705882,0.14173669467787117,1.0,2.0,-18.0,0.0,-0.5142857142857142,-38.0,-1.0,0,0,0
2025-12-18,16,0.125,0.49999999999999994,-1,1,neutral,0.29411764705882354,0.14285714285714285,0.13333333333333333,0.3333333333333333,0.3157894736842105,17.0,35.0,15.0,9.0,19.0,0.1873249299719888,0.09291519092617027,0.125,0.29411764705882354,0.14285714285714285,0.2394396220026472,0.13213076927229528,0.125,0.5,0.23076923076923078,0.21085534416195628,0.17149751482198536,-0.21428571428571427,0.5,0.22064777327935223,0.18105687083241262,0.1811916530280417,-0.21428571428571427,0.5,0.22064777327935223,22.666666666666668,10.692676621563622,16.0,35.0,17.0,17.714285714285715,7.825477316949768,12.0,35.0,16.0,16.142857142857142,5.9981682185498935,9.0,35.0,15.5,15.766666666666667,4.461972142707618,9.0,35.0,15.5,3,0,18,51,12,4,0,0,0,3,2,-0.16911764705882354,-0.20833333333333331,-0.32037815126050423,-1.0,1.0,-1.0,7.0,-0.05882352941176472,17.0,-1.0,0,0,0
2025-12-19,14,0.6428571428571429,0.633323693776651,-1,1,positive,0.125,0.29411764705882354,0.14285714285714285,0.5,0.25,16.0,17.0,35.0,12.0,12.0,0.3539915966386555,0.2640694463219041,0.125,0.6428571428571429,0.29411764705882354,0.2598477852679534,0.1810569775817139,0.125,0.6428571428571429,0.23076923076923078,0.23891656865175223,0.20688483719369197,-0.21428571428571427,0.6428571428571429,0.22064777327935223,0.19058068035622217,0.1975377892189511,-0.21428571428571427,0.6428571428571429,0.22064777327935223,15.666666666666666,1.5275252316519459,14.0,17.0,16.0,18.0,7.615773105863915,13.0,35.0,16.0,16.285714285714285,5.915150969249306,9.0,35.0,15.5,15.766666666666667,4.461972142707618,9.0,35.0,15.5,4,0,19,51,12,4,0,0,0,4,1,0.5178571428571429,0.1428571428571429,0.6869747899159664,1.0,1.0,-2.0,2.0,-0.125,-1.0,-1.0,0,1,1
2025-12-20,19,-0.10526315789473684,0.809302638222512,-1,1,negative,0.6428571428571429,0.125,0.29411764705882354,0.23076923076923078,0.2,14.0,16.0,17.0,13.0,15.0,0.22086466165413535,0.3831625257182873,-0.10526315789473684,0.6428571428571429,0.125,0.21184315831595796,0.2284072035532023,-0.10526315789473684,0.6428571428571429,0.14285714285714285,0.2171120573735567,0.22646216139523886,-0.21428571428571427,0.6428571428571429,0.22064777327935223,0.1846909560454452,0.20374932645636554,-0.21428571428571427,0.6428571428571429,0.22064777327935223,16.333333333333332,2.5166114784235805,14.0,19.0,16.0,18.857142857142858,7.289914755527478,14.0,35.0,16.0,16.571428571428573,5.9448010345729285,9.0,35.0,16.0,15.933333333333334,4.487018312123687,9.0,35.0,16.0,5,1,20,51,12,4,0,0,0,0,0,-0.7481203007518797,-0.3360323886639676,-1.2659774436090228,-1.0,1.0,5.0,6.0,0.3571428571428572,7.0,1.0,0,1,1
2025-12-21,16,-0.0625,0.6800735254367721,-1,1,neutral,-0.10526315789473684,0.6428571428571429,0.125,0.25,0.4375,19.0,14.0,16.0,16.0,16.0,0.15836466165413535,0.4201272368877881,-0.10526315789473684,0.6428571428571429,-0.0625,0.16720030117310083,0.24929114000177074,-0.10526315789473684,0.6428571428571429,0.13333333333333333,0.18139777165927098,0.22844985169041698,-0.21428571428571427,0.6428571428571429,0.17669172932330826,0.16927428937877853,0.20439271099426418,-0.21428571428571427,0.6428571428571429,0.20526315789473684,16.333333333333332,2.5166114784235805,14.0,19.0,16.0,18.857142857142858,7.289914755527478,14.0,35.0,16.0,16.571428571428573,5.9448010345729285,9.0,35.0,16.0,15.966666666666667,4.483558726120879,9.0,35.0,16.0,6,1,21,51,12,4,0,0,0,0,0,0.042763157894736836,-0.3125,0.7908834586466166,1.0,1.0,-3.0,0.0,-0.1578947368421053,-8.0,-1.0,0,0,0
